Date,Title,EngTitle
2020-10-30 15:47:00,알버트 비어만 현대차 사장 보유주식 432주 전량 매도,"Albert Beerman, president of Hyundai Motors, sold 432 shares of all shares"
2020-10-30 14:55:00,"알버트 비어만 사장, 현대차 지분 전략 매각",President Albert Beerman sells Hyundai Motor Company's equity strategy
2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파","Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales"
2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파","Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales"
2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?","Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?"
2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시...","Hyundai Motor Co., Ltd. pre-contracts for gasoline for “The New Santa Fe” on the 2nd of next month... 29.7 million won..."
2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만...","Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million..."
2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요""","""Now, in the hydrogen era, invest in Hyundai Motor Company and the value chain"""
2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입...","[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business..."
2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시",Hyundai Motor Company to enter into a preliminary contract for the gasoline model of'The New Santa Fe' starting on the 2nd of next month
2020-10-30 09:17:00,현대차 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원부터,Hyundai Motor Company's'The New Santa Fe' gasoline pre-contract... From KRW 29.75 million
2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴",Hyundai Motor Company's preliminary contract for'The New Santa Fe' gasoline... 1.47 million won cheaper than diesel
2020-10-30 07:01:00,"[공시+] 우수AMS, 현대BS&E 대상 75억원 유상증자","[Disclosure+] Excellent AMS, paid-in capital increase of 7.5 billion won to Hyundai BS&E"
2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대...",Samsung SDI bids for a 30 trillion won Hyundai Motor battery business... Samsung-Hyundai Motors Millwall Era...
2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속...","Hyundai Kia Motors, average 32 years of transaction period Technology development and manpower training with business partners `Acceleration..."
2020-10-29 16:13:00,공정거래법 개정안 통과땐 삼전·현대차 기업 기밀 유출 `현실화`,'Realization' of the leakage of corporate secrets from Samjeon and Hyundai Motors when passing the amendment to the Fair Trade Act
2020-10-29 06:00:00,"""감사위원 분리선출시 삼성·현대차 지배구조에도 영향가능""","""Samsung-Hyundai Motors' governance structure may be affected by separate election of audit committee members"""
2020-10-29 12:20:00,"현대모비스, 현대차그룹 브랜드 사용료 50억원 계약",Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group
2020-10-29 11:31:00,‘3%룰’ 외국기관투자자 연합군에 무방비…삼성전자·현대차 지배구조 개편...,"""3% rule"" defenseless against the coalition of foreign institutional investors... Samsung Electronics and Hyundai Motors' governance structure reform..."
2020-10-29 10:36:00,3%룰 삼성전자·현대차 헤지펀드 공격 무방비 노출…승계 지배구조 개편...,3% rule Samsung Electronics and Hyundai Motors hedge fund attack defenseless exposure... Succession governance reorganization...
2020-10-29 09:19:00,[특징주]셧다운 우려···삼성전자·현대차 등 수출주 약세,[Features] Shutdown concerns… Export stocks such as Samsung Electronics and Hyundai Motors are weak
2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units"
2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units"
2020-10-31 15:10:00,"한신평 ""현대종합특수강 유증 재무구조에 긍정적, 신용도 부담은 여전""","Shinpyeong Han ""Hyundai Special Steel bequests are positive for the financial structure, credit burden still remains"""
2020-10-31 09:12:00,"수소시대 투자는 현대차만? 전문가들 ""이런 기업 주목해야""","Only Hyundai Motor Company is investing in the hydrogen era? Experts ""must pay attention to these companies"""
2020-10-31 08:43:00,"문재인 대통령, 정의선 현대차 회장에 ""우리 회장님""···왜?","President Moon Jae-in and Hyundai Motor Chairman Eui-seon Eui-seon said ""Our Chairman""... why?"
2020-10-30 17:33:00,[단독] CNN 캠페인 등장한 정의선…현대차 `모빌리티 혁신` 강조,[Exclusive] Eui-seon Eui-sun appeared in the CNN campaign... Emphasis on Hyundai Motor's'Mobility Innovation'
2020-10-30 17:32:00,"현대차 간 문재인 대통령 ""전기·수소차 133만대 보급""","President Moon Jae-in between Hyundai Motors ""supplied 1.33 million electric and hydrogen cars"""
2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업""","""Hyundai Motor, No. 1 Labor-Management Cooperation Company"""
2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장""","President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win"""
2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업""","""Hyundai Motor, No. 1 Labor-Management Cooperation Company"""
2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장""","President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win"""
2020-10-30 17:21:00,"이노션, 현대차 신차 광고 특수 기대","INNOCEAN, special expectations for Hyundai Motor's new car advertisement"
2020-10-30 15:50:00,文대통령의 수소전기차 넥쏘 사랑…취임 후 현대차 사업장만 4차례 찾아,"President Wen's love for the hydrogen electric car Nexo… After taking office, only visited Hyundai Motor Company four times"
2020-10-30 14:53:00,"현대차 사장 ""친환경차 개발·신산업 창출로 그린뉴딜 마중물 될 것""","President of Hyundai Motors ""will be the welcome to the Green New Deal by developing eco-friendly vehicles and creating new industries"
2020-10-30 13:10:00,승용차에서 트럭·버스까지..수소차의 역사 만든 현대차,From passenger cars to trucks and buses
2020-10-30 15:47:00,알버트 비어만 현대차 사장 보유주식 432주 전량 매도,"Albert Beerman, president of Hyundai Motors, sold 432 shares of all shares"
2020-10-30 14:55:00,"알버트 비어만 사장, 현대차 지분 전략 매각",President Albert Beerman sells Hyundai Motor Company's equity strategy
2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파","Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales"
2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파","Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales"
2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?","Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?"
2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시...","Hyundai Motor Co., Ltd. pre-contracts for gasoline for “The New Santa Fe” on the 2nd of next month... 29.7 million won..."
2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만...","Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million..."
2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요""","""Now, in the hydrogen era, invest in Hyundai Motor Company and the value chain"""
2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입...","[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business..."
2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시",Hyundai Motor Company to enter into a preliminary contract for the gasoline model of'The New Santa Fe' starting on the 2nd of next month
2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만...","Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million..."
2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴",Hyundai Motor Company's preliminary contract for'The New Santa Fe' gasoline... 1.47 million won cheaper than diesel
2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?","Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?"
2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시...","Hyundai Motor Co., Ltd. pre-contracts for gasoline for “The New Santa Fe” on the 2nd of next month... 29.7 million won..."
2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만...","Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million..."
2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요""","""Now, in the hydrogen era, invest in Hyundai Motor Company and the value chain"""
2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입...","[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business..."
2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시",Hyundai Motor Company to enter into a preliminary contract for the gasoline model of'The New Santa Fe' starting on the 2nd of next month
2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만...","Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million..."
2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴",Hyundai Motor Company's preliminary contract for'The New Santa Fe' gasoline... 1.47 million won cheaper than diesel
2020-10-30 07:01:00,"[공시+] 우수AMS, 현대BS&E 대상 75억원 유상증자","[Disclosure+] Excellent AMS, paid-in capital increase of 7.5 billion won to Hyundai BS&E"
2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대...",Samsung SDI bids for a 30 trillion won Hyundai Motor battery business... Samsung-Hyundai Motors Millwall Era...
2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속...","Hyundai Kia Motors, average 32 years of transaction period Technology development and manpower training with business partners `Acceleration..."
2020-10-29 16:13:00,공정거래법 개정안 통과땐 삼전·현대차 기업 기밀 유출 `현실화`,'Realization' of the leakage of corporate secrets from Samjeon and Hyundai Motors when passing the amendment to the Fair Trade Act
2020-10-29 06:00:00,"""감사위원 분리선출시 삼성·현대차 지배구조에도 영향가능""","""Samsung-Hyundai Motors' governance structure may be affected by separate election of audit committee members"""
2020-10-29 12:20:00,"현대모비스, 현대차그룹 브랜드 사용료 50억원 계약",Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group
2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속...","Hyundai Kia Motors, average 32 years of transaction period Technology development and manpower training with business partners `Acceleration..."
2020-10-29 16:13:00,공정거래법 개정안 통과땐 삼전·현대차 기업 기밀 유출 `현실화`,'Realization' of the leakage of corporate secrets from Samjeon and Hyundai Motors when passing the amendment to the Fair Trade Act
2020-10-29 06:00:00,"""감사위원 분리선출시 삼성·현대차 지배구조에도 영향가능""","""Samsung-Hyundai Motors' governance structure may be affected by separate election of audit committee members"""
2020-10-29 12:20:00,"현대모비스, 현대차그룹 브랜드 사용료 50억원 계약",Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group
2020-10-29 11:31:00,‘3%룰’ 외국기관투자자 연합군에 무방비…삼성전자·현대차 지배구조 개편...,"""3% rule"" defenseless against the coalition of foreign institutional investors... Samsung Electronics and Hyundai Motors' governance structure reform..."
2020-10-29 10:36:00,3%룰 삼성전자·현대차 헤지펀드 공격 무방비 노출…승계 지배구조 개편...,3% rule Samsung Electronics and Hyundai Motors hedge fund attack defenseless exposure... Succession governance reorganization...
2020-10-29 09:19:00,[특징주]셧다운 우려···삼성전자·현대차 등 수출주 약세,[Features] Shutdown concerns… Export stocks such as Samsung Electronics and Hyundai Motors are weak
2020-10-29 08:52:00,'팰리세이드 5천만원부터'···현대차 중국 현지 '제값 받기' 전략 먹...,'From 50 million won in Palisade'...
2020-10-28 18:12:00,"현대차 모셔널, 美서 내년 자율주행 택시 서비스 선보인다",Hyundai Motors Motive to introduce self-driving taxi service next year in the US
2020-10-28 17:27:00,내년부터 미국서 현대차 로보택시 달린다,Hyundai Robo Taxi will run in the US from next year
2020-10-28 16:44:00,[사진]현대 수소전기차 넥쏘 살펴보는 주요 내빈들,[Photo] Major guests looking at Hyundai's hydrogen electric vehicle Nexo
2020-10-28 16:20:00,"[사진]정세균 총리, 2020 그린뉴딜 엑스포 현대차 부스 관람","[Photo] Prime Minister Jeong Sye-gyun, at the 2020 Green New Deal Expo Hyundai Motor Company's booth"
2020-10-28 16:15:00,[사진]2020 그린뉴딜 엑스포 현대차 부스 둘러보는 정세균 총리,[Photos] Prime Minister Sye-gyun Jeong looking around Hyundai Motor's booth at the 2020 Green New Deal Expo
2020-10-28 16:09:00,[사진]'2020 그린뉴딜 엑스포' 현대차 부스 둘러보는 정세균 총리...,[Photo] Prime Minister Sye-gyun Jeong looking around Hyundai Motor's booth at the '2020 Green New Deal Expo'...
2020-10-28 16:44:00,[사진]현대 수소전기차 넥쏘 살펴보는 주요 내빈들,[Photo] Major guests looking at Hyundai's hydrogen electric vehicle Nexo
2020-10-28 16:20:00,"[사진]정세균 총리, 2020 그린뉴딜 엑스포 현대차 부스 관람","[Photo] Prime Minister Jeong Sye-gyun, at the 2020 Green New Deal Expo Hyundai Motor Company's booth"
2020-10-28 16:15:00,[사진]2020 그린뉴딜 엑스포 현대차 부스 둘러보는 정세균 총리,[Photos] Prime Minister Sye-gyun Jeong looking around Hyundai Motor's booth at the 2020 Green New Deal Expo
2020-10-28 16:09:00,[사진]'2020 그린뉴딜 엑스포' 현대차 부스 둘러보는 정세균 총리...,[Photo] Prime Minister Sye-gyun Jeong looking around Hyundai Motor's booth at the '2020 Green New Deal Expo'...
2020-10-28 15:55:00,"""결국 사람, 결국 생활"" 현대차 미래모빌리티가 향하는 곳은","“In the end, people, eventually life”"
2020-10-28 14:55:00,신형 투싼과 K팝의 만남···현대차 '버추얼 쇼케이스',New Tucson meets K-pop...Hyundai Motors'Virtual Showcase'
2020-10-28 10:26:00,현대차·SM 손잡은 신형 투싼 쇼케이스…엑소 카이 뜬다,New Tucson Showcase with Hyundai Motor Company and SM... Exo kai is floating
2020-10-28 10:06:00,"현대차, SM엔터와 신형 투싼 버추얼 쇼케이스…내달 1일 공개","Hyundai Motor Company, SM Entertainment and the new Tucson Virtual Showcase… Released on the 1st of next month"
2020-10-28 09:18:00,"""투싼은 뭔가 다르네""..현대차, 비대면 공연으로 신차 발표한다","""There is something different about Tucson""...Hyundai Motor announces a new car as a non-face-to-face"
2020-10-28 09:18:00,"""투싼은 뭔가 다르네""..현대차, 비대면 공연으로 신차 발표한다","""There is something different about Tucson""...Hyundai Motor announces a new car as a non-face-to-face"
2020-10-28 12:55:00,건설 AI 선점 나선 현대ENG,Hyundai ENG to preempt construction AI
2020-10-28 10:12:00,"현대ENG, 온라인 비대면 방식 'AI 기술 컨퍼런스' 개최",Hyundai ENG holds an online non-face-to-face'AI technology conference'
2020-10-28 10:05:00,"현대ENG, 'AI 기술 컨퍼런스' 온라인 개최",Hyundai ENG hosts'AI technology conference' online
2020-10-28 11:55:00,이건희 회장 영결식도 참석한 정의선…삼성·현대 본격적인 협력 싹틀까,Eui-seon Eui-seon who also attended the ceremony for Chairman Lee Kun-hee Will Samsung-Hyundai's full-fledged cooperation sprout?
2020-10-28 11:25:00,"현대차, 차세대 전기차 '아이오닉5' 내년 2월 양산","Hyundai Motor Company, mass-produced the next-generation electric car'Ioniq 5'in February next year"
2020-10-28 11:00:00,"'가즈프롬·로사톰-현대차·효성' 맞손…韓 수소경제, 러시아 진출논의","'Gazprom, Rosatom-Hyundai Motor, Hyosung' face-to-face... Korea's hydrogen economy discusses entry into Russia"
2020-10-28 10:20:00,"현대차, 투싼 버추얼 쇼케이스 '비욘드 드라이브' 1일 공개",Hyundai to unveil the Tucson virtual showcase'Beyond Drive' on the 1st
2020-10-28 09:02:00,"신형 투싼X엑소 카이...현대차, 버추얼 쇼케이스 내달 1일 공개",New Tucson X Exo Kai...Hyundai Motors to unveil its virtual showcase on the 1st of next month
2020-10-28 10:26:00,현대차·SM 손잡은 신형 투싼 쇼케이스…엑소 카이 뜬다,New Tucson Showcase with Hyundai Motor Company and SM... Exo kai is floating
2020-10-28 10:06:00,"현대차, SM엔터와 신형 투싼 버추얼 쇼케이스…내달 1일 공개","Hyundai Motor Company, SM Entertainment and the new Tucson Virtual Showcase… Released on the 1st of next month"
2020-10-28 09:18:00,"""투싼은 뭔가 다르네""..현대차, 비대면 공연으로 신차 발표한다","""There is something different about Tucson""...Hyundai Motor announces a new car as a non-face-to-face"
2020-10-28 09:18:00,"""투싼은 뭔가 다르네""..현대차, 비대면 공연으로 신차 발표한다","""There is something different about Tucson""...Hyundai Motor announces a new car as a non-face-to-face"
2020-10-28 10:20:00,"현대차, 투싼 버추얼 쇼케이스 '비욘드 드라이브' 1일 공개",Hyundai to unveil the Tucson virtual showcase'Beyond Drive' on the 1st
2020-10-28 09:02:00,"신형 투싼X엑소 카이...현대차, 버추얼 쇼케이스 내달 1일 공개",New Tucson X Exo Kai...Hyundai Motors to unveil its virtual showcase on the 1st of next month
2020-10-28 10:12:00,"현대ENG, 온라인 비대면 방식 'AI 기술 컨퍼런스' 개최",Hyundai ENG holds an online non-face-to-face'AI technology conference'
2020-10-28 10:05:00,"현대ENG, 'AI 기술 컨퍼런스' 온라인 개최",Hyundai ENG hosts'AI technology conference' online
2020-10-28 09:46:00,"플랜코리아·현대차 정몽구 재단, '온드림 희망나눔 키트' 진행","Plan Korea·Hyundai Motor Chung Mong-Koo Foundation,'OnDream Hope Sharing Kit'"
2020-10-28 09:34:00,"플랜코리아, 현대차 정몽구 재단과 함께 ‘온드림 희망나눔 키트’ 사업...",Plan Korea and Hyundai Motors Chung Mong-koo Foundation for the'OnDream Hope Sharing Kit' project...
2020-10-28 09:23:00,"플랜코리아, 현대차 정몽구 재단과 ‘온드림 희망나눔 키트’ 사업 펼친...",Plan Korea and Hyundai Motors Chung Mong-Koo Foundation launched the “OnDream Hope Sharing Kit” project...
2020-10-28 09:18:00,"""투싼은 뭔가 다르네""..현대차, 비대면 공연으로 신차 발표한다","""There is something different about Tucson""...Hyundai Motor announces a new car as a non-face-to-face"
2020-10-28 09:13:00,[특징주]현대·기아차 3거래일 만에 하락,[Features] Hyundai·Kia Motors fell after 3 trading days
2020-10-27 17:45:00,현대차그룹 EV 콘셉트카 '45' 어린이용 제작···감정도 읽는다,Hyundai Motor Group EV concept car '45' made for children...
2020-10-27 17:31:00,상반기 현대차 올라탄 당신이 바로 `개미 왕`,"In the first half of the year, you are the'ant king'"
2020-10-27 15:55:00,현대·기아차 깜짝 호실적에 돌아온 외인·기관,Foreigners and institutions returning to Hyundai and Kia's surprise performance
2020-10-27 09:20:00,"[특징주]현대·기아차, 충당금 제외하면 '깜짝 실적'...주가 급등세","[Features] Hyundai·Kia Motors,'surprising performance' excluding provisions...stock prices surge"
2020-10-27 15:37:00,"추억의 車 `포니·갤로퍼 시승 기회‥현대차, `헤리티지` 프로그램 마련",Memories of ‘Pony-Galoper test drive opportunity… Hyundai Motor’s’ Heritage’ program
2020-10-27 15:23:00,"현대차, '현대 헤리티지' 고객경험 강화한다",Hyundai Motors strengthens the customer experience of'Hyundai Heritage'
2020-10-27 14:57:00,추억의 포니·갤로퍼 타볼까…현대차 ‘현대 헤리티지’ 활짝,Let's ride a pony galloper of memories... Hyundai's'Hyundai Heritage' in full bloom
2020-10-27 14:11:00,"현대차, 포니·갤로퍼 등 헤리티지 시승 프로그램 운영",Heritage test drive programs such as Hyundai Motor Company and Pony Galloper
2020-10-27 15:04:00,'전설의 포니' 탈 수 있다고?..현대차 시승프로그램 운영,Can you ride'Legendary Pony'?..Hyundai Motors test drive program
2020-10-28 09:18:00,"현대차, 신형 투싼 버추얼 쇼케이스 ‘Beyond DRIVE’ 1일 공...",Hyundai Motor Company unveils new Tucson virtual showcase'Beyond DRIVE' on the 1st...
2020-10-28 09:13:00,[특징주]현대·기아차 3거래일 만에 하락,[Features] Hyundai·Kia Motors fell after 3 trading days
2020-10-28 09:02:00,"신형 투싼X엑소 카이...현대차, 버추얼 쇼케이스 내달 1일 공개",New Tucson X Exo Kai...Hyundai Motors to unveil its virtual showcase on the 1st of next month
2020-10-27 17:45:00,현대차그룹 EV 콘셉트카 '45' 어린이용 제작···감정도 읽는다,Hyundai Motor Group EV concept car '45' made for children...
2020-10-27 17:31:00,상반기 현대차 올라탄 당신이 바로 `개미 왕`,"In the first half of the year, you are the'ant king'"
2020-10-27 15:55:00,현대·기아차 깜짝 호실적에 돌아온 외인·기관,Foreigners and institutions returning to Hyundai and Kia's surprise performance
2020-10-27 09:20:00,"[특징주]현대·기아차, 충당금 제외하면 '깜짝 실적'...주가 급등세","[Features] Hyundai·Kia Motors,'surprising performance' excluding provisions...stock prices surge"
2020-10-27 15:37:00,"추억의 車 `포니·갤로퍼 시승 기회‥현대차, `헤리티지` 프로그램 마련",Memories of ‘Pony-Galoper test drive opportunity… Hyundai Motor’s’ Heritage’ program
2020-10-27 15:23:00,"현대차, '현대 헤리티지' 고객경험 강화한다",Hyundai Motors strengthens the customer experience of'Hyundai Heritage'
2020-10-27 14:57:00,추억의 포니·갤로퍼 타볼까…현대차 ‘현대 헤리티지’ 활짝,Let's ride a pony galloper of memories... Hyundai's'Hyundai Heritage' in full bloom
2020-10-27 14:11:00,"현대차, 포니·갤로퍼 등 헤리티지 시승 프로그램 운영",Heritage test drive programs such as Hyundai Motor Company and Pony Galloper
2020-10-27 15:04:00,'전설의 포니' 탈 수 있다고?..현대차 시승프로그램 운영,Can you ride'Legendary Pony'?..Hyundai Motors test drive program
2020-10-27 14:57:00,추억의 포니·갤로퍼 타볼까…현대차 ‘현대 헤리티지’ 활짝,Let's ride a pony galloper of memories... Hyundai's'Hyundai Heritage' in full bloom
2020-10-27 11:33:00,현대차 EV 콘셉트카 ‘45’ 미니카 공개,Unveiled the Hyundai EV concept car '45' minicar
2020-10-27 09:30:00,아 깜찍해…현대차 콘셉트카 '45' 똑 닮은 어린이 전동차,Oh cute... A children's train that resembles Hyundai's concept car '45'
2020-10-27 09:09:00,현대차 EV 콘셉트카 ‘45’ 미니카 공개…깜찍함에 혁신을 담다,Hyundai EV concept car '45' minicar released... Putting innovation in cuteness
2020-10-27 14:57:00,"[컨콜]현대제철 ""스틸 배터리 케이스 개발‥현대차 적용 기대""","[Concall] Hyundai Steel ""Development of steel battery case, expectation of Hyundai Motors application"""
2020-10-27 14:11:00,"현대차, 포니·갤로퍼 등 헤리티지 시승 프로그램 운영",Heritage test drive programs such as Hyundai Motor Company and Pony Galloper
2020-10-27 11:33:00,현대차 EV 콘셉트카 ‘45’ 미니카 공개,Unveiled the Hyundai EV concept car '45' minicar
2020-10-27 09:30:00,아 깜찍해…현대차 콘셉트카 '45' 똑 닮은 어린이 전동차,Oh cute... A children's train that resembles Hyundai's concept car '45'
2020-10-27 09:09:00,현대차 EV 콘셉트카 ‘45’ 미니카 공개…깜찍함에 혁신을 담다,Hyundai EV concept car '45' minicar released... Putting innovation in cuteness
2020-10-27 11:09:00,"품질 비용 털고 체질 개선…현대기아차, 내년 최대 실적 시동",Shake quality cost and improve constitution… Hyundai-Kia Motors starts next year's highest performance
2020-10-27 10:51:00,"[특징주]현대·기아차, 정부 미래차 전략 예고에 ‘강세’",[Features] Hyundai·Kia Motors “Strengthened” in the government's future car strategy announcement
2020-10-27 10:46:00,어린이車까지 내놓은 현대차…콘셉트카 '45' 감정도 읽는다,Hyundai car that even released children's cars... Concept car '45' also reads emotions
2020-10-27 09:02:00,현대차 EV콘셉트카 '45' 디자인 어린이 전동차 나왔다,Hyundai's EV concept car '45' design children's electric car released
2020-10-27 08:44:00,"현대차그룹, EV콘셉트카 '45' 디자인 활용한 어린이 전동차 제작",Hyundai Motor Group's EV concept car '45' design for children's electric vehicles
2020-10-27 09:20:00,"[특징주]현대·기아차, 충당금 제외하면 '깜짝 실적'...주가 급등세","[Features] Hyundai·Kia Motors,'surprising performance' excluding provisions...stock prices surge"
2020-10-27 09:10:00,[특징주] 현대차·기아차 실적 개선 기대감에 ↑,[Features] In anticipation of improving Hyundai Motor and Kia's earnings ↑
2020-10-27 09:07:00,"[Hot-Line] ""현대차, 품질 이슈 없었다면 역사적 3분기""…목표...","[Hot-Line] ""Hyundai Motor, without quality issues, historical third quarter""… goal..."
